Star HIP,RA (degrees),Dec (degrees),Distance (AU)
99824.0,20h 15m 15.91s,"+25deg 35' 30.9""",7.58326e+07 au
99848.0,20h 15m 28.33s,"+47deg 42' 51.2""",7.01581e+07 au
99874.0,20h 15m 46.07s,"+27deg 48' 51.4""",2.0751e+07 au
100027.0,20h 17m 38.91s,"-12deg 30' 29.5""",4.34242e+07 au
100044.0,20h 17m 47.19s,"+38deg 01' 58.4""",3.96663e+08 au
100064.0,20h 18m 03.36s,"-12deg 32' 41.4""",6.8732e+06 au
100310.0,20h 20m 39.84s,"-12deg 45' 33.0""",1.72174e+07 au
100345.0,20h 21m 00.76s,"-14deg 46' 52.6""",2.17579e+07 au
100453.0,20h 22m 13.71s,"+40deg 15' 24.0""",9.63854e+07 au
100587.0,20h 23m 51.69s,"+32deg 11' 24.5""",1.61523e+07 au
100751.0,20h 25m 38.88s,"-56deg 44' 08.5""",1.15879e+07 au
101027.0,20h 28m 51.59s,"-17deg 48' 49.5""",6.24288e+06 au
101076.0,20h 29m 23.75s,"+30deg 22' 06.8""",4.79686e+07 au
101093.0,20h 29m 35.05s,"+62deg 59' 38.4""",8.58007e+06 au
101101.0,20h 29m 39.12s,"-02deg 53' 08.5""",1.20764e+07 au
101138.0,20h 30m 03.57s,"+48deg 57' 05.8""",5.50039e+07 au
101421.0,20h 33m 12.79s,"+11deg 18' 11.0""",2.26914e+07 au
101474.0,20h 33m 54.18s,"+35deg 15' 02.9""",5.87649e+07 au
101589.0,20h 35m 18.61s,"+14deg 40' 27.5""",1.43638e+07 au
101612.0,20h 35m 35.09s,"-60deg 34' 58.9""",5.68693e+06 au
101692.0,20h 36m 43.65s,"-02deg 33' 00.2""",1.39368e+08 au
101769.0,20h 37m 33.14s,"+14deg 35' 41.1""",6.159e+06 au
101772.0,20h 37m 34.15s,"-47deg 17' 27.8""",6.40375e+06 au
101773.0,20h 37m 35.52s,"-61deg 31' 49.5""",1.2329e+07 au
101847.0,20h 38m 20.31s,"-01deg 06' 18.9""",2.42664e+07 au
101867.0,20h 38m 31.47s,"+21deg 12' 04.2""",1.35078e+07 au
101958.0,20h 39m 38.38s,"+15deg 54' 43.7""",1.52225e+07 au
102098.0,20h 41m 25.92s,"+45deg 16' 49.3""",2.04223e+08 au
102281.0,20h 43m 27.50s,"+15deg 04' 27.5""",1.28674e+07 au
102333.0,20h 44m 02.75s,"-51deg 55' 16.8""",4.98465e+06 au
102388.0,20h 44m 52.45s,"+25deg 16' 09.8""",2.30721e+07 au
102395.0,20h 44m 57.32s,"-66deg 12' 11.3""",8.69949e+06 au
102422.0,20h 45m 17.68s,"+61deg 50' 39.9""",2.95805e+06 au
102431.0,20h 45m 20.93s,"+57deg 34' 41.2""",5.59438e+06 au
102453.0,20h 45m 39.74s,"+30deg 43' 11.6""",1.30218e+07 au
102485.0,20h 46m 05.64s,"-25deg 16' 19.1""",3.02619e+06 au
102488.0,20h 46m 13.39s,"+33deg 58' 21.1""",4.55733e+06 au
102532.0,20h 46m 39.46s,"+16deg 07' 22.6""",6.4177e+06 au
102571.0,20h 47m 10.83s,"+34deg 22' 27.0""",2.52157e+07 au
102589.0,20h 47m 24.57s,"+36deg 29' 26.4""",5.5597e+07 au
102618.0,20h 47m 40.60s,"-09deg 29' 45.7""",1.45155e+07 au
102624.0,20h 47m 44.23s,"-05deg 01' 40.7""",2.81398e+07 au
102724.0,20h 48m 56.28s,"+46deg 06' 50.8""",1.42252e+08 au
102790.0,20h 49m 29.05s,"-46deg 13' 35.9""",2.55912e+07 au
102831.0,20h 49m 58.09s,"-33deg 46' 47.5""",2.40682e+07 au
102978.0,20h 51m 49.28s,"-26deg 55' 08.9""",3.97427e+07 au
103004.0,20h 52m 07.54s,"+27deg 05' 47.6""",1.36962e+07 au
103045.0,20h 52m 39.31s,"-08deg 59' 00.8""",9.81746e+06 au
103089.0,20h 53m 14.78s,"+44deg 23' 14.1""",3.16843e+07 au
103227.0,20h 54m 48.67s,"-58deg 27' 15.6""",3.81266e+07 au
103413.0,20h 57m 10.44s,"+41deg 10' 01.1""",2.24934e+07 au
103632.0,20h 59m 49.57s,"+47deg 31' 15.5""",7.11258e+07 au
103738.0,21h 01m 17.46s,"-32deg 15' 28.0""",1.41374e+07 au
104019.0,21h 04m 24.23s,"-19deg 51' 18.6""",9.99345e+06 au
104060.0,21h 04m 55.88s,"+43deg 55' 40.3""",7.44638e+07 au
104139.0,21h 05m 56.97s,"-17deg 13' 59.8""",1.0008e+07 au
104194.0,21h 06m 36.11s,"+47deg 38' 54.2""",6.2128e+07 au
104234.0,21h 07m 07.62s,"-25deg 00' 22.1""",3.30553e+07 au
104459.0,21h 09m 35.80s,"-11deg 22' 18.5""",1.03495e+07 au
104521.0,21h 10m 20.58s,"+10deg 07' 49.9""",7.26796e+06 au
104732.0,21h 12m 56.20s,"+30deg 13' 35.2""",9.54046e+06 au
104858.0,21h 14m 28.89s,"+10deg 00' 17.6""",3.81195e+06 au
104887.0,21h 14m 47.90s,"+38deg 02' 53.3""",4.31516e+06 au
104987.0,21h 15m 49.53s,"+05deg 14' 49.9""",1.17798e+07 au
105102.0,21h 17m 24.95s,"+39deg 23' 40.8""",2.86479e+08 au
105138.0,21h 17m 55.10s,"+34deg 53' 49.0""",5.69792e+07 au
105140.0,21h 17m 56.39s,"-32deg 10' 21.7""",1.04385e+07 au
105199.0,21h 18m 35.31s,"+62deg 35' 09.3""",3.08595e+06 au
105319.0,21h 19m 52.29s,"-53deg 26' 59.6""",6.14249e+06 au
105382.0,21h 20m 45.81s,"-40deg 48' 33.6""",1.17933e+07 au
105502.0,21h 22m 05.39s,"+19deg 48' 17.8""",9.73406e+06 au
105515.0,21h 22m 14.85s,"-16deg 50' 04.2""",1.36328e+07 au
105858.0,21h 26m 26.93s,"-65deg 21' 38.5""",1.90106e+06 au
105881.0,21h 26m 40.02s,"-22deg 24' 40.3""",2.5185e+07 au
106032.0,21h 28m 39.66s,"+70deg 33' 38.8""",3.76396e+07 au
106039.0,21h 28m 43.64s,"-21deg 48' 26.0""",1.13457e+07 au
106140.0,21h 29m 56.94s,"+23deg 38' 19.9""",2.79871e+07 au
106278.0,21h 31m 33.57s,"-05deg 34' 16.4""",3.86988e+07 au
106481.0,21h 33m 58.79s,"+45deg 35' 28.3""",7.8727e+06 au
106551.0,21h 34m 46.81s,"+38deg 32' 04.9""",1.6165e+07 au
106723.0,21h 37m 04.85s,"-19deg 27' 57.6""",4.19237e+07 au
106786.0,21h 37m 45.30s,"-07deg 51' 15.7""",1.1296e+07 au
106801.0,21h 37m 55.22s,"+62deg 04' 54.9""",2.86479e+08 au
106985.0,21h 40m 05.78s,"-16deg 39' 44.9""",8.7847e+06 au
107089.0,21h 41m 29.14s,"-77deg 23' 30.1""",4.36817e+06 au
107119.0,21h 41m 55.91s,"+71deg 18' 43.4""",1.11194e+07 au
107136.0,21h 42m 05.68s,"+51deg 11' 22.6""",1.06322e+08 au
107188.0,21h 42m 39.76s,"-18deg 51' 59.0""",1.83837e+07 au
107259.0,21h 43m 30.48s,"+58deg 46' 48.1""",3.32685e+08 au
107310.0,21h 44m 09.07s,"+28deg 44' 27.5""",4.62063e+06 au
107315.0,21h 44m 11.21s,"+09deg 52' 30.1""",4.25288e+07 au
107348.0,21h 44m 30.71s,"+17deg 20' 59.8""",5.69792e+07 au
107354.0,21h 44m 38.82s,"+25deg 38' 42.5""",7.27822e+06 au
107380.0,21h 44m 56.87s,"-33deg 01' 35.1""",1.29482e+07 au
107418.0,21h 45m 26.92s,"+61deg 07' 14.9""",3.22289e+08 au
107533.0,21h 46m 47.62s,"+49deg 18' 34.4""",7.31435e+07 au
107556.0,21h 47m 02.90s,"-16deg 07' 45.6""",2.43869e+06 au
108085.0,21h 53m 55.92s,"-37deg 21' 53.8""",1.28354e+07 au
108431.0,21h 57m 55.20s,"-54deg 59' 33.4""",1.16864e+07 au
108870.0,22h 03m 33.60s,"-56deg 48' 12.3""",7.47987e+05 au
108874.0,22h 03m 18.89s,"-02deg 09' 19.6""",2.40964e+07 au
108917.0,22h 03m 48.28s,"+64deg 37' 42.9""",6.43171e+06 au
109068.0,22h 05m 40.92s,"+05deg 03' 33.2""",1.66611e+07 au
109074.0,22h 05m 47.07s,"-00deg 19' 11.7""",4.79686e+07 au
109111.0,22h 06m 06.83s,"-39deg 32' 39.2""",1.56261e+07 au
109139.0,22h 06m 26.30s,"-13deg 52' 12.3""",1.09135e+07 au
109176.0,22h 07m 01.21s,"+25deg 20' 43.1""",2.42493e+06 au
109268.0,22h 08m 14.29s,"-46deg 57' 43.2""",6.41371e+06 au
109285.0,22h 08m 23.17s,"-32deg 59' 19.2""",8.24729e+06 au
109289.0,22h 08m 25.94s,"-34deg 02' 39.1""",3.33762e+07 au
109400.0,22h 09m 48.61s,"+72deg 20' 28.4""",2.38732e+07 au
109410.0,22h 09m 59.22s,"+33deg 10' 41.2""",1.59155e+07 au
109422.0,22h 10m 09.62s,"-32deg 32' 53.9""",3.86553e+06 au
109427.0,22h 10m 12.45s,"+06deg 11' 53.1""",6.10793e+06 au
109492.0,22h 10m 51.32s,"+58deg 12' 04.7""",4.59387e+07 au
109754.0,22h 13m 52.81s,"+39deg 42' 54.1""",3.56243e+07 au
109857.0,22h 15m 03.64s,"+57deg 02' 38.1""",5.3079e+06 au
109908.0,22h 15m 37.02s,"-41deg 20' 47.6""",1.65808e+07 au
109937.0,22h 15m 58.19s,"+37deg 44' 55.5""",3.96663e+07 au
110003.0,22h 16m 50.23s,"-07deg 47' 00.4""",1.21047e+07 au
110130.0,22h 18m 29.86s,"-60deg 15' 35.5""",1.25618e+07 au
110351.0,22h 21m 01.60s,"+46deg 32' 11.7""",3.22289e+07 au
110371.0,22h 21m 19.37s,"+28deg 19' 50.0""",3.84106e+07 au
110386.0,22h 21m 31.09s,"+12deg 12' 18.8""",6.13883e+07 au
110395.0,22h 21m 39.59s,"-01deg 23' 14.2""",9.97895e+06 au
110538.0,22h 23m 33.59s,"+52deg 13' 40.0""",1.07374e+07 au
110609.0,22h 24m 30.98s,"+49deg 28' 34.9""",1.33938e+08 au
110672.0,22h 25m 16.65s,"+01deg 22' 38.7""",6.96841e+07 au
110838.0,22h 27m 20.24s,"-64deg 57' 58.6""",1.68931e+07 au
110882.0,22h 27m 51.65s,"+04deg 41' 36.8""",1.0116e+07 au
110960.0,22h 28m 50.23s,"-00deg 01' 11.0""",6.54186e+06 au
110991.0,22h 29m 10.32s,"+58deg 24' 54.8""",6.2128e+07 au
110997.0,22h 29m 16.23s,"-43deg 29' 44.1""",1.87003e+07 au
111022.0,22h 29m 31.82s,"+47deg 42' 24.7""",7.3666e+07 au
111043.0,22h 29m 45.40s,"-43deg 44' 57.2""",2.05443e+07 au
111104.0,22h 30m 29.26s,"+43deg 07' 24.0""",8.66659e+07 au
111123.0,22h 30m 38.82s,"-10deg 40' 41.3""",1.67831e+07 au
111169.0,22h 31m 17.86s,"+50deg 16' 57.4""",6.4741e+06 au
111188.0,22h 31m 30.45s,"-32deg 20' 46.3""",9.37994e+06 au
111310.0,22h 33m 00.21s,"-61deg 58' 56.1""",1.72462e+07 au
111497.0,22h 35m 21.53s,"-00deg 07' 04.4""",1.16075e+07 au
111674.0,22h 37m 22.28s,"+51deg 32' 39.9""",1.08847e+07 au
111841.0,22h 39m 15.68s,"+39deg 03' 00.8""",6.69691e+07 au
111944.0,22h 40m 31.08s,"+44deg 16' 34.9""",1.90809e+07 au
111954.0,22h 40m 39.38s,"-27deg 02' 37.0""",4.70924e+07 au
112029.0,22h 41m 27.85s,"+10deg 49' 52.6""",1.31883e+07 au
112051.0,22h 41m 45.40s,"+29deg 18' 27.0""",1.92771e+07 au
112122.0,22h 42m 40.38s,"-46deg 53' 04.6""",1.07598e+07 au
112158.0,22h 43m 00.16s,"+30deg 13' 15.8""",1.35879e+07 au
112203.0,22h 43m 30.00s,"-41deg 24' 54.0""",1.40221e+07 au
112211.0,22h 43m 35.18s,"-18deg 49' 50.0""",3.06486e+07 au
112374.0,22h 45m 37.97s,"-53deg 30' 00.0""",2.49413e+07 au
112405.0,22h 46m 02.90s,"-81deg 22' 53.8""",8.87924e+06 au
112440.0,22h 46m 31.98s,"+23deg 33' 56.1""",2.49715e+07 au
112447.0,22h 46m 41.97s,"+12deg 10' 10.2""",3.35172e+06 au
112519.0,22h 47m 29.39s,"+83deg 09' 15.0""",2.05035e+07 au
112623.0,22h 48m 33.58s,"-51deg 19' 02.3""",8.19812e+06 au
112716.0,22h 49m 35.48s,"-13deg 35' 34.4""",2.40402e+07 au
112724.0,22h 49m 40.55s,"+66deg 11' 58.4""",7.29624e+06 au
112748.0,22h 50m 00.45s,"+24deg 36' 04.6""",7.37978e+06 au
112917.0,22h 52m 02.28s,"+43deg 18' 45.2""",2.06471e+07 au
112948.0,22h 52m 31.47s,"-32deg 52' 32.4""",1.40603e+07 au
112961.0,22h 52m 36.91s,"-07deg 34' 45.7""",2.47617e+07 au
113116.0,22h 54m 26.62s,"+84deg 20' 46.8""",2.47024e+07 au
113136.0,22h 54m 38.94s,"-15deg 49' 15.6""",1.00912e+07 au
113186.0,22h 55m 13.81s,"+08deg 48' 58.9""",1.78584e+07 au
113246.0,22h 55m 56.92s,"-32deg 32' 21.9""",1.07766e+07 au
113288.0,22h 56m 26.00s,"+49deg 44' 00.7""",1.18543e+08 au
113368.0,22h 57m 39.67s,"-29deg 37' 24.1""",1.58568e+06 au
113638.0,23h 00m 52.63s,"-52deg 45' 15.2""",7.11503e+06 au
113726.0,23h 01m 55.31s,"+42deg 19' 33.5""",4.3793e+07 au
113881.0,23h 03m 46.81s,"+28deg 05' 01.4""",1.26002e+07 au
113889.0,23h 03m 52.64s,"+03deg 49' 11.9""",3.11578e+07 au
113919.0,23h 04m 11.41s,"+50deg 03' 11.7""",1.13332e+07 au
113963.0,23h 04m 45.76s,"+15deg 12' 17.9""",8.82983e+06 au
114104.0,23h 06m 36.84s,"+59deg 25' 11.1""",6.99203e+07 au
114119.0,23h 06m 40.95s,"-23deg 44' 35.2""",1.19091e+07 au
114131.0,23h 06m 52.62s,"-43deg 31' 13.6""",8.41554e+06 au
114144.0,23h 07m 00.27s,"+09deg 24' 33.9""",2.03618e+07 au
114155.0,23h 07m 06.74s,"+25deg 28' 04.9""",3.3981e+07 au
114222.0,23h 07m 53.89s,"+75deg 23' 14.1""",1.39086e+07 au
114341.0,23h 09m 26.90s,"-21deg 10' 19.9""",1.47754e+07 au
114375.0,23h 09m 54.96s,"-22deg 27' 27.6""",3.29496e+07 au
114421.0,23h 10m 21.85s,"-45deg 14' 48.8""",1.16996e+07 au
114570.0,23h 12m 33.23s,"+49deg 24' 24.7""",5.05303e+06 au
114724.0,23h 14m 19.44s,"-06deg 03' 01.3""",1.40507e+07 au
114855.0,23h 15m 54.11s,"-09deg 05' 16.3""",9.38848e+06 au
114939.0,23h 16m 50.91s,"-07deg 43' 35.8""",4.05235e+07 au
114971.0,23h 17m 11.20s,"+03deg 16' 56.7""",8.27708e+06 au
114996.0,23h 17m 25.66s,"-58deg 14' 06.7""",4.54328e+06 au
115022.0,23h 17m 44.73s,"+49deg 00' 55.2""",4.14186e+07 au
115033.0,23h 17m 54.25s,"-09deg 10' 57.3""",2.03618e+07 au
115088.0,23h 18m 37.74s,"+68deg 06' 41.5""",1.33246e+07 au
115102.0,23h 18m 49.48s,"-32deg 31' 57.2""",1.13084e+07 au
115115.0,23h 18m 57.75s,"-09deg 36' 38.9""",1.57454e+07 au
115250.0,23h 20m 38.30s,"+23deg 44' 25.0""",1.05777e+07 au
115438.0,23h 22m 58.02s,"-20deg 06' 04.5""",1.02415e+07 au
115590.0,23h 24m 50.31s,"+62deg 16' 57.8""",4.87624e+07 au
115623.0,23h 25m 23.13s,"+23deg 24' 15.7""",1.09541e+07 au
115669.0,23h 26m 02.70s,"-20deg 38' 32.8""",1.95142e+07 au
115738.0,23h 26m 56.10s,"+01deg 15' 17.9""",1.02517e+07 au
115830.0,23h 27m 57.89s,"+06deg 22' 43.3""",1.00421e+07 au
115919.0,23h 29m 09.40s,"+12deg 45' 38.6""",1.12467e+07 au
115990.0,23h 30m 02.00s,"+58deg 32' 56.2""",3.63783e+07 au
116231.0,23h 32m 58.46s,"-37deg 49' 04.8""",1.12836e+07 au
116247.0,23h 33m 16.62s,"-20deg 54' 52.0""",2.02618e+07 au
116310.0,23h 33m 57.28s,"+31deg 19' 30.5""",3.46664e+07 au
116389.0,23h 35m 04.66s,"-42deg 36' 54.0""",1.73041e+07 au
116584.0,23h 37m 34.22s,"+46deg 27' 18.9""",5.32434e+06 au
116602.0,23h 37m 51.16s,"-45deg 29' 32.8""",1.26854e+07 au
116631.0,23h 38m 08.26s,"+43deg 16' 05.0""",3.17819e+07 au
116727.0,23h 39m 20.47s,"+77deg 37' 59.3""",2.84503e+06 au
116758.0,23h 39m 47.16s,"-14deg 13' 21.2""",8.46041e+06 au
116771.0,23h 39m 57.67s,"+05deg 37' 23.8""",2.84464e+06 au
116805.0,23h 40m 24.70s,"+44deg 20' 01.7""",1.07318e+07 au
116901.0,23h 41m 45.83s,"-17deg 48' 59.5""",4.06834e+07 au
116928.0,23h 42m 02.59s,"+01deg 46' 44.3""",6.37013e+06 au
116971.0,23h 42m 43.51s,"-14deg 32' 43.3""",9.74786e+06 au
117073.0,23h 43m 59.62s,"+29deg 21' 40.2""",1.48285e+07 au
117221.0,23h 46m 02.07s,"+46deg 25' 12.8""",8.28373e+07 au
117245.0,23h 46m 23.46s,"+03deg 29' 11.9""",4.80804e+07 au
117301.0,23h 47m 03.65s,"+58deg 39' 08.6""",1.0925e+07 au
117452.0,23h 48m 55.73s,"-28deg 07' 51.5""",9.07456e+06 au
117863.0,23h 54m 23.02s,"+57deg 29' 57.7""",7.3666e+08 au
118121.0,23h 57m 35.38s,"-64deg 17' 55.1""",1.0047e+07 au
118131.0,23h 57m 45.46s,"+25deg 08' 28.2""",2.73561e+07 au
118209.0,23h 58m 40.28s,"-03deg 33' 23.3""",1.41471e+07 au
118243.0,23h 59m 00.57s,"+55deg 45' 17.6""",9.63854e+07 au
118268.0,23h 59m 18.94s,"+06deg 51' 45.2""",6.70126e+06 au
118322.0,23h 59m 55.17s,"-65deg 34' 38.2""",2.36814e+07 au
